simplified_chinese,traditional_chinese,pinyin_latin,pinyin_zhuyin,pinyin_vietnamese,level,vietnamese_meaning,chinese_explanation,example_sentence_chinese,example_sentence_pinyin,example_sentence_vietnamese,grammar_pattern,related_compounds,radical_info,stroke_count,stroke_order,popularity
爱,姓,ài,ㄞˋ,ái,3,quý; yêu; thương; yêu mến; yêu quý; ưa; ham; thích; chuộng; ưa thích; bảo vệ; giữ gìn; quan tâm; quý trọng; dễ; hay; dễ bị; thường hay; dễ sinh ra; tình cảm; tình yêu; họ Ái,对人或事物有很深的感情【對人或事物有很深的感情】,我很爱我的父母。【我很愛我的父母。】,wǒ hěn ài wǒ de fùmǔ.,Tôi rất yêu bố mẹ của mình.,Chủ ngữ + 爱 + Tân ngữ,爱好【愛好】; 可爱【可愛】; 爱情【愛情】; 爱护【愛護】; 恨,TRẢO 爪Số nét: 10,10,ノ丶丶ノ丶フ一ノフ丶,
爱好,嗜好,àihào,ㄞˋㄏㄠˇ,ái hiếu,3,mê; ham; thích; yêu chuộng; yêu thích; ưa chuộng; sở thích,对某种事物具有浓厚的兴趣; 对人或事物有很深的感情【對某種事物具有濃厚的興趣;對人或事物有很深的感情】,我爱好探索新的领域。【我愛好探索新的領域。】,wǒ àihào tànsuǒ xīn de lǐngyù.,Tôi thích khám phá những lĩnh vực mới.,爱好 + Tân ngữ （文学/书法/舞蹈/体育...）,爱好者【愛好者】; 兴趣爱好【興趣愛好】; 业余爱好【業餘愛好】; 个人爱好【個人愛好】; 讨厌【討厭】,TRẢO 爪Số nét: 10,10,ノ丶丶ノ丶フ一ノフ丶,
爸爸,父母,bàba,ㄅㄚˋㄅㄚˋ,bả bả,3,bố; ba; cha; thầy,子女对父亲的称呼。称呼父亲; 有子女的男子【子女對父親的稱呼。稱呼父親;有子女的男子】,子女对父亲的称呼。称呼父亲; 有子女的男子【子女對父親的稱呼。稱呼父親;有子女的男子】,bàba měitiān dōu qù shàngbān.,Bố đi làm hàng ngày.,爸爸 + 的 + Danh từ (生日、工作、爱好、话、信）,妈妈【媽媽】MA MA; 母亲【母親】MẪU THÂN; 父母PHỤ MẪU; 父亲【父親】PHỤ THÂN; 老爸LÃO BA,PHỤ 父Số nét: 8,8,ノ丶ノ丶フ丨一フ,
八,八卦,bā,ㄅㄚ,bát,3,8; số 8; tám; số tám,数字，比七大一的正整数【數字，比七大一的正整數】,他买了八个苹果。【他買了八個蘋果。】,tā mǎile bā gè píngguǒ.,Anh ấy đã mua tám quả táo.,第 + 八 + Lượng từ,八卦BÁT QUÁI; 八成BÁT THÀNH; 八角BÁT GIÁC; 腊八【臘八】LẠP BÁT,BÁT 八Số nét: 2,2,ノ丶,
吧,好吧,ba,ㄅㄚ˙,ba,3,"nhé; nhớ; được rồi; nào; nhé; chứ; thôi; đi; chắc; hẳn; chứ (suy đoán); nhỉ, thì phải; ư; chăng",用在句中停顿处，使语气舒缓【用在句中停頓處，使語氣舒緩】,你吧，就不用来了。【你吧，就不用來了。】,"nǐ ba, jiù bùyòng láile.","Bạn nhé, không cần phải đến nữa đâu.",,好吧HẢO BA; 贴吧【貼吧】THIẾP BA; 吧吧BA BA; 迪吧ĐỊCH BA,KHẨU 口Số nét: 7,7,丨フ一フ丨一フ,
白,白白的,bái,ㄅㄞˊ,bạch,3,bạc; trắng; màu trắng; sáng; ánh sáng; ban ngày; trống rỗng; không có gì; lộ rõ; rõ ràng; sáng tỏ; minh bạch; trắng (phản động); sai; lộn; nhầm; tiếng bạch thoại; tiếng Phổ thông; lời thoại; họ Bạch; tiếng địa phương; Bạch (dân tộc); bày tỏ; nói rõ; giãi bày; trình bày; liếc; lườm; nguýt; xem thường; vô ích; mất công; uổng công; miễn phí; không mất tiền,像霜或雪的颜色【像霜或雪的顏色】,他年轻时就有了白发。【他年輕時就有了白髮/發。】,tā niánqīng shí jiù yǒule bái fà.,Khi còn trẻ anh ấy đã có tóc bạc.,白 + Ai đó + 一眼,白领【白領】BẠCH LĨNH; 白天BẠCH THIÊN; 白色BẠCH SẮC; 表白【錶白】BIỂU BẠCH; 黑HẮC,BẠCH 白Số nét: 5,5,ノ丨フ一一,
百,姓,bǎi,ㄅㄞˇ,bách,3,100; trăm; số 100; một trăm; mười lần mười; lắm; muôn; nhiều; đủ điều; họ Bách,数目，十个十【數目，十個十】,这个箱子重一百公斤。【這個箱子重一百公斤。】,zhège xiāngzi zhòng yībǎi gōngjīn.,Cái thùng này nặng 100 kg.,Số lượng + 百 +（ 多 + 个/块/张....）+ Danh từ,一百NHẤT BÁCH; 百万【百萬】BÁCH VẠN; 百姓BÁCH TÍNH; 百货【百貨】BÁCH HÓA,BẠCH 白Số nét: 6,6,一ノ丨フ一一,
白天,大白天,báitiān,ㄅㄞˊㄊㄧㄢ,bạch thiên,3,ban ngày,一天中天亮着的时间；从太阳出来到太阳落下中间的时间【一天中天亮著的時間；從太陽齣來到太陽落下中間的時間】,她白天工作，晚上休息。,"tā báitiān gōngzuò, wǎnshàng xiūxi.",Cô ấy ban ngày làm việc ban đêm nghỉ ngơi.,,大白天ĐẠI BẠCH THIÊN; 白天做梦【白天做夢】BẠCH THIÊN TỐ MỘNG; 乳白天空NHŨ BẠCH THIÊN KHÔNG; 夜晚DẠ VÃN; 黑夜HẮC DẠ,BẠCH 白Số nét: 5,5,ノ丨フ一一,
班,姓,bān,ㄅㄢ,ban,3,lớp; lớp học; ca; ban; kíp; đoàn; gánh (cách gọi các đoàn kịch ngày xưa); tiểu đội; họ Ban; lớp; tốp; đám; nhóm; chuyến; rút; rút về (quân đội); theo tuyến,为工作、学习等编成的组织【為工作、學習等編成的組織】,我们班有30个学生。【我們班有個學生。】,wǒmen bān yǒu 30 gè xuéshēng.,Lớp của chúng tôi có 30 học sinh.,,上班THƯỢNG BAN; 航班HÀNG BAN; 加班GIA BAN; 下班HẠ BAN,NGỌC 玉Số nét: 10,10,一一丨一丶ノ一一丨一,
半,姓,bàn,ㄅㄢˋ,bán,3,rưỡi; một nửa; giữa; trung gian; chút; tí xíu; rất ít; hé; hờ; nửa; hơi hơi; không hoàn toàn; họ Bán,二分之一；一半 <没有整数时用在量词前，有整数时用在量词后>【二分之一；一半沒有整數時用在量詞前，有整數時用在量詞後】,工作已经完成了一半。【工作已經完成了一半。】,gōngzuò yǐjīng wánchéngle yībàn.,Công việc đã hoàn thành một nửa.,Số từ + Lượng từ + 半 +（Danh từ),半夜BÁN DẠ; 半天BÁN THIÊN; 多半ĐA BÁN; 一半NHẤT BÁN; 全TOÀN,THẬP 十Số nét: 5,5,丶ノ一一丨,
