simplified_chinese,traditional_chinese,pinyin,english_meaning,part_of_speech,hsk_level,example_sentence_chinese,example_sentence_pinyin,example_sentence_english
爱,愛,ài,yêu; thích; thích/yêu mến/có khuynh hướng (làm điều gì đó); có xu hướng (xảy ra),V,1,我爱你。,Wǒ ài nǐ.,Tôi yêu bạn.
爱好,愛好,ài hào,thích; say mê; thích thú; say mê/quan tâm; sở thích/CL:個|个[ge4],V/N,1,我的爱好是画画儿。,Wǒ de àihào shì huà huàr.,Sở thích của tôi là vẽ tranh.
爸爸,爸爸,bà bà,"(thuật ngữ) cha; bố/CL:個|个[ge4],位[wei4]",,1,我的爸爸很高。,Wǒ de bàba hěn gāo.,Bố của tôi rất cao.
八,八,bā,tám; 8,Num,1,他有八个苹果。,Tā yǒu bā ge píngguǒ.,Anh ấy có tám quả táo.
吧,吧,ba,(onom.) Thình thịch!,Aux,1,请你帮我吧。,Qǐng nǐ bāng wǒ ba.,Xin bạn giúp tôi nhé.
白,白,bái,trắng/tuyết/trong trẻo/sáng/trống rỗng/trống trơn/trong trẻo/làm rõ ràng/vô ích/miễn phí/miễn phí/phản động/chống cộng/tang lễ/nhìn chằm chằm lạnh lùng/viết sai ký tự/tuyên bố/giải thích/tiếng địa phương/lời thoại trong opera,Adj,1,他的白色衬衫很漂亮。,Tā de báisè chènshān hěn piàoliang.,Áo sơ mi trắng của anh ấy rất đẹp.
百,百,bǎi,trăm/nhiều/đủ loại,Num,1,我们要买一百个苹果。,Wǒmen yào mǎi yī bǎi gè píngguǒ.,Chúng tôi muốn mua một trăm quả táo.
白天,白天,bái tiān,ban ngày/trong ngày/ngày/CL:個|个[ge4],N,1,,,
班,班,bān,đội; lớp; cấp bậc/đội (quân sự)/ca làm việc/CL:個|个[ge4]/phân loại cho nhóm người và phương tiện vận chuyển theo lịch trình,N/M,1,我们班有二十个学生。,Wǒmen bān yǒu èrshí gè xuéshēng.,Lớp chúng tôi có hai mươi học sinh.
半,半,bàn,một nửa/bán/không đầy đủ/(theo một số) và một nửa,Num,1,我们半个小时后见。,Wǒmen bàn gè xiǎoshí hòu jiàn.,Chúng ta gặp nhau sau nửa giờ.
半年,半年,bàn nián,nửa năm,,1,,,
半天,半天,bàn tiān,nửa ngày/một thời gian dài/khá lâu/trên không trung/CL:個|个[ge4],,1,,,
帮,"幇,幚,幫",bāng,"giúp đỡ/hỗ trợ/ủng hộ/cho ai đó (tức là làm người giúp việc)/được thuê (làm công nhân)/bên (xô, thuyền, v.v.)/lớp ngoài/phần trên (của giày)/nhóm/băng đảng/phe nhóm/bữa tiệc/hội kín",V,1,,,
